timestamp_ns,pid,ppid,uid,gid,comm,pcomm,event_type,raw_syscall,target_path,net_daddr,net_dport,mem_prot,mem_addr,ret_val,threat_class,is_malicious
1790322305830087680,412,1,0,0,systemd-journal,systemd,EVENT_FILE_WRITE,sys_enter_write,/var/log/journal/system.journal,,0,0x0,0x0,0,benign,0
1790322305831087680,4488,3998,1000,1000,gcc,make,EVENT_FILE_OPEN,sys_enter_openat,/usr/src/app/obj_9.o,,0,0x0,0x0,0,benign,0
1790322305832087680,412,1,0,0,systemd-journal,systemd,EVENT_FILE_WRITE,sys_enter_write,/var/log/journal/system.journal,,0,0x0,0x0,0,benign,0
1790322305833087680,845,1,0,0,cron,systemd,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/sbin/logrotate,,0,0x0,0x0,0,benign,0
1790322305834087680,2840,2810,1000,1000,python3,bash,EVENT_FILE_OPEN,sys_enter_openat,/usr/lib/python3.11/json/__init__.py,,0,0x0,0x0,0,benign,0
1790322305835087680,845,1,0,0,cron,systemd,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/sbin/logrotate,,0,0x0,0x0,0,benign,0
1790322305836087680,4986,3998,1000,1000,gcc,make,EVENT_FILE_OPEN,sys_enter_openat,/usr/src/app/obj_2.o,,0,0x0,0x0,0,benign,0
1790322305837087680,845,1,0,0,cron,systemd,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/sbin/logrotate,,0,0x0,0x0,0,benign,0
1790322305838087680,4218,3998,1000,1000,gcc,make,EVENT_FILE_OPEN,sys_enter_openat,/usr/src/app/obj_8.o,,0,0x0,0x0,0,benign,0
1790322305839087680,4536,3998,1000,1000,gcc,make,EVENT_FILE_OPEN,sys_enter_openat,/usr/src/app/obj_8.o,,0,0x0,0x0,0,benign,0
1790322305840087680,845,1,0,0,cron,systemd,EVENT_PROCESS_EXEC,sys_enter_execve,/usr/sbin/logrotate,,0,0x0,0x0,0,benign,0
1790322305841087680,412,1,0,0,systemd-journal,systemd,EVENT_FILE_WRITE,sys_enter_write,/var/log/journal/system.journal,,0,0x0,0x0,0,benign,0
1790322305842087680,4007,3998,1000,1000,gcc,make,EVENT_FILE_OPEN,sys_enter_openat,/usr/src/app/obj_12.o,,0,0x0,0x0,0,benign,0
1790322305843087680,412,1,0,0,systemd-journal,systemd,EVENT_FILE_WRITE,sys_enter_write,/var/log/journal/system.journal,,0,0x0,0x0,0,benign,0
1790322305844087680,412,1,0,0,systemd-journal,systemd,EVENT_FILE_WRITE,sys_enter_write,/var/log/journal/system.journal,,0,0x0,0x0,0,benign,0
1790322305845087680,1102,1,33,33,nginx,systemd,EVENT_NET_CONNECT,sys_enter_connect,/var/log/nginx/access.log,10.0.0.46,80,0x0,0x0,0,benign,0
1790322305846087680,2840,2810,1000,1000,python3,bash,EVENT_FILE_OPEN,sys_enter_openat,/usr/lib/python3.11/json/__init__.py,,0,0x0,0x0,0,benign,0
